id,id,code
411630,411630.0,
9118411,9118411.0,
189963,189963.0,
12069893,12069893.0,
482330,482330.0,
4723745,4723745.0,
608747,608747.0,
1008332,1008332.0,
3958807,3958807.0,
4223265,4223265.0,
223631,223631.0,
14191569,14191569.0,
189777,189777.0,
44823,44823.0,
12062763,12062763.0,
19287011,19287011.0,
6217449,6217449.0,
3061454,3061454.0,
15519967,15519967.0,
3536332,3536332.0,
1966262,1966262.0,
13048962,13048962.0,
6302320,6302320.0,
1180865,1180865.0,
13734387,13734387.0,
5551857,5551857.0,
6805931,6805931.0,
10169905,10169905.0,
213301,213301.0,
196392,196392.0,
22892372,22892372.0,
4716110,4716110.0,
15497664,15497664.0,
23162609,23162609.0,
11986970,11986970.0,
33845,33845.0,
5297820,5297820.0,
9186576,9186576.0,
12106606,12106606.0,
2857623,2857623.0,
19142737,19142737.0,
442381,442381.0,
3753583,3753583.0,
16030263,16030263.0,
16502662,16502662.0,
2057786,2057786.0,
8612648,8612648.0,
161760,161760.0,
272875,272875.0,
662799,662799.0,
831649,831649.0,
978946,978946.0,
6276686,6276686.0,
3287812,3287812.0,
8561723,8561723.0,
338138,338138.0,
1050422,1050422.0,
130541,130541.0,
11834952,11834952.0,
2499053,2499053.0,
10935129,10935129.0,
9228039,9228039.0,
4788269,4788269.0,
7352539,7352539.0,
12096098,12096098.0,
1421558,1421558.0,
22137813,22137813.0,
4265803,4265803.0,
21870537,21870537.0,
108845,108845.0,
16598483,16598483.0,
88047,88047.0,
539195,539195.0,
12483251,12483251.0,
13031531,13031531.0,
9871231,9871231.0,
367770,367770.0,
19235549,19235549.0,
845085,845085.0,
11702614,11702614.0,
9225969,9225969.0,
6013463,6013463.0,
7082101,7082101.0,
346058,346058.0,
23458519,23458519.0,
1951103,1951103.0,
4442345,4442345.0,
3850809,3850809.0,
10730397,10730397.0,
11203339,11203339.0,
3978711,3978711.0,
7549312,7549312.0,
241286,241286.0,
9296325,9296325.0,
266990,266990.0,
11730227,11730227.0,
8220848,8220848.0,
534739,534739.0,
2827291,2827291.0,
78966,78966.0,
18731110,18731110.0,
120707,120707.0,
6514746,6514746.0,
6814854,6814854.0,
11163692,11163692.0,
11892804,11892804.0,
555191,555191.0,
16528463,16528463.0,
17477951,17477951.0,
12937094,12937094.0,
2530584,2530584.0,
11754318,11754318.0,
6387775,6387775.0,
8146273,8146273.0,
2668863,2668863.0,
20922553,20922553.0,
772627,772627.0,
2711644,2711644.0,
4518933,4518933.0,
5498222,5498222.0,
738946,738946.0,
5723746,5723746.0,
5825427,5825427.0,
8273324,8273324.0,
21575674,21575674.0,
7716807,7716807.0,
10759917,10759917.0,
562437,562437.0,
5258165,5258165.0,
13339653,13339653.0,
21944387,21944387.0,
550697,550697.0,
4235407,4235407.0,
10318446,10318446.0,
1458628,1458628.0,
2532322,2532322.0,
2530139,2530139.0,
11346095,11346095.0,
7286007,7286007.0,
2285646,2285646.0,
536222,536222.0,
1244216,1244216.0,
2544868,2544868.0,
6301863,6301863.0,
13894933,13894933.0,
11435285,11435285.0,
7271784,7271784.0,
13569337,13569337.0,
333109,333109.0,
481939,481939.0,
5875194,5875194.0,
615902,615902.0,
17068090,17068090.0,
3108499,3108499.0,
7634979,7634979.0,
8625346,8625346.0,
16583451,16583451.0,
9525318,9525318.0,
18269745,18269745.0,
8708611,8708611.0,
689011,689011.0,
4243218,4243218.0,
9261775,9261775.0,
6322468,6322468.0,
1760351,1760351.0,
18628310,18628310.0,
14317425,14317425.0,
6788428,6788428.0,
6244936,6244936.0,
20446064,20446064.0,
541499,541499.0,
397240,397240.0,
17927694,17927694.0,
7355440,7355440.0,
14763206,14763206.0,
19088472,19088472.0,
14410764,14410764.0,
1411331,1411331.0,
116038,116038.0,
10089329,10089329.0,
6382620,6382620.0,
709584,709584.0,
6953987,6953987.0,
19853888,19853888.0,
11970044,11970044.0,
7344728,7344728.0,
3667135,3667135.0,
17905171,17905171.0,
793635,793635.0,
8486429,8486429.0,
14271724,14271724.0,
5041055,5041055.0,
47756,47756.0,
6919875,6919875.0,
14053882,14053882.0,
601526,601526.0,
5545050,5545050.0,
20485016,20485016.0,
13997019,13997019.0,
10415388,10415388.0,
